Patient,File,Variance_Reduction_Percent,Raw_Variance,Clean_Variance
chb09,chb09_10.edf,74.89900265231293,1.1481523919151904e-09,2.8819770144203765e-10
chb09,chb09_11.edf,51.07000756253019,7.053450936570212e-08,3.451253009844448e-08
chb09,chb09_12.edf,49.29814552129923,3.268025748242696e-08,1.6569496592004837e-08
chb09,chb09_13.edf,70.2759701110976,4.3874159970087355e-09,1.3041168423013615e-09
chb09,chb09_14.edf,83.10426268626605,6.172050791413374e-09,1.042813488587441e-09
chb09,chb09_15.edf,75.40151838670688,3.5608183474933627e-09,8.759072464909225e-10
chb09,chb09_16.edf,73.28979541869967,2.0220632075243237e-09,5.400972194929505e-10
chb09,chb09_17.edf,70.20674250839205,2.118863995072808e-09,6.312786059490128e-10
chb09,chb09_18.edf,80.05522240359507,5.3681469555575935e-09,1.0706649713341442e-09
chb09,chb09_19.edf,72.0356688617301,8.813840214599375e-09,2.4647314636085675e-09
chb10,chb10_01.edf,11.520672804596277,6.525310783176306e-09,5.773551078363525e-09
chb10,chb10_02.edf,12.589035363988387,7.0737713175338526e-09,6.183251744801849e-09
chb10,chb10_03.edf,12.121185351717534,2.875050576446182e-09,2.5265603671195166e-09
chb10,chb10_04.edf,86.2416739107491,2.033264833508503e-09,2.7974320605216424e-10
chb10,chb10_05.edf,71.94488841167868,4.934132903443734e-09,1.3842764919772185e-09
chb10,chb10_06.edf,82.07034304342008,3.641960196439892e-09,6.529909697168568e-10
chb10,chb10_07.edf,19.88016534446806,6.842810645014218e-09,5.48244857457653e-09
chb10,chb10_08.edf,18.56320484936611,8.991059022868324e-09,7.322030318325862e-09
chb10,chb10_12.edf,16.775506707289413,6.9312664496732594e-09,5.768511381508221e-09
chb10,chb10_13.edf,16.42476518818521,7.304112650998875e-09,6.10442929899178e-09
chb10,chb10_14.edf,19.122830268389457,6.582081334006972e-09,5.323401092377474e-09
chb10,chb10_15.edf,91.29788516549245,3.0174181956864135e-09,2.6257919642595765e-10
chb10,chb10_16.edf,16.056535389934,1.476473988864041e-09,1.2394034203189162e-09
chb10,chb10_17.edf,88.20861497030394,2.3991062329062246e-09,2.828878531934097e-10
chb10,chb10_18.edf,81.08760568261852,2.4548961403854575e-09,4.6427963815187675e-10
chb10,chb10_19.edf,15.474268419673665,4.860780117198893e-09,4.108609954573408e-09
chb10,chb10_20.edf,20.442181274244632,9.388579915265983e-09,7.469349389909987e-09
chb10,chb10_21.edf,94.4307455814817,5.862426840398928e-09,3.264934658413198e-10
chb10,chb10_22.edf,77.70741919142294,2.1700406353768946e-09,4.837580622203531e-10
chb10,chb10_27.edf,85.20219740122079,4.37702885533203e-09,6.477040897036392e-10
chb10,chb10_28.edf,22.065660911115824,1.7321707816601552e-09,1.3499558505776009e-09
chb10,chb10_30.edf,12.307393444769577,2.8990706972245843e-09,2.54227066027513e-09
chb10,chb10_31.edf,18.984897640885777,6.4387495170675776e-09,5.216359511899271e-09
chb10,chb10_38.edf,68.55233605263784,7.79822347895513e-09,2.4523591135261042e-09
chb10,chb10_89.edf,12.767877970035023,4.211225079226348e-09,3.6735410000672167e-09
chb11,chb11_01.edf,15.834708171752954,1.8018099176149706e-09,1.5164985753509376e-09
chb11,chb11_02.edf,26.458503143991308,1.7749162151593205e-09,1.3052999525681801e-09
chb11,chb11_03.edf,25.106648274752718,2.4787703286282117e-09,1.8564341806805945e-09
chb11,chb11_04.edf,22.842698314275378,2.733998168788661e-09,2.109479215174454e-09
chb11,chb11_05.edf,24.660212205120136,4.272561172910639e-09,3.218938521077306e-09
chb11,chb11_06.edf,24.83038911603591,3.920349216004962e-09,2.946911250963467e-09
chb11,chb11_07.edf,28.187645364494042,5.3680262125284955e-09,3.854906020667882e-09
chb11,chb11_08.edf,29.138110583588794,7.3545330438072896e-09,5.211561072596143e-09
chb11,chb11_09.edf,34.20463580581215,7.101874514590763e-09,4.672704201489203e-09
chb11,chb11_10.edf,32.21435304910085,4.431937210988345e-09,3.0042173109260858e-09
chb11,chb11_11.edf,31.371288854507185,4.7491663872281065e-09,3.2592916817096143e-09
chb11,chb11_12.edf,65.08310895418359,2.586535612356159e-09,9.031378216276406e-10
chb11,chb11_13.edf,29.767149183060436,2.9354280710083927e-09,2.061634817949891e-09
chb11,chb11_14.edf,27.728310330511174,3.526977556910079e-09,2.549006274642571e-09
chb11,chb11_15.edf,29.12164445229174,3.5607147686886947e-09,2.523776073790931e-09
chb11,chb11_16.edf,14.42911432053674,2.451167498191431e-09,2.0974857376895493e-09
chb11,chb11_17.edf,7.207772295819714,1.9440767216413472e-09,1.803952098289402e-09
chb11,chb11_18.edf,31.22254404874227,1.2979344458266698e-09,8.926862917546388e-10
